Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
,,High Point Orchards Ltd.,"Kentville, NS B4N 3V7",8431-Ouvriers agricoles,12
,,Kimberlee Farms,"CENTERVILLE, NS B0P 1J0",8431-Ouvriers agricoles,7
,,Mahoney's Evergreens L.P.,"East Dalhousie, NS B0R 1H0",8432-Ouvriers de pépinières et de serres,11
,,McConnell-Gordon Estates Ltd.,"Gaspereau, NS B4P 2R1",8431-Ouvriers agricoles,5
,,Millen Farms Limited,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,209
,,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,25
,,Perfect Berries Limited,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,13
,,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,4
,,Rene Penner/Janice Penner/RJ Farms,"WELSFORD, NS B0P 1E0",8431-Ouvriers agricoles,5
,,Skips General Maintenance,"WOLFVILLE, NS B4P 2R3",8431-Ouvriers agricoles,4
,,Spurr Brothers Farms,"Melvern Square, NS B0P 1R0",8431-Ouvriers agricoles,13
,,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,12
,,Stokdijk Greenhouses Limited,"Beaver Brook, NS B6L 1H3",8431-Ouvriers agricoles,2
,,,,8432-Ouvriers de pépinières et de serres,14
,,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,15
,,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,5
,,Van Meekeren Farms Limited,"LAKEVILLE, NS B4N 3V7",8431-Ouvriers agricoles,7
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,16
, Talent mondial,Trampoline Creative Inc,"HALIFAX, NS B3J 1Z7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2171-Analystes et consultants en informatique,1
,,,,2172-Analystes de bases de données et administrateurs de données,4
,,,,2173-Ingénieurs et concepteurs en logiciel,1
,,,,2174-Programmeurs et développeurs en médias interactifs,7
,,,,"5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,,,5241-Designers graphiques et illustrateurs,3
Nouveau-Brunswick,    Haut salaire,053636 NB Ltd.,"Dieppe, NB E1A 1Y6",7511-Conducteurs de camions de transport,2
,,700827 NB Inc o/a J's Asian Kitchen,"FREDERICTON, NB E3B 1B2",6322-Cuisiniers,3
,,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Conducteurs de camions de transport,6
,,Balaji Hospitality Management Inc.  o/a Knights Inn & Suites,"MIRAMICHI, NB E1V 1L2",1311-Techniciens en comptabilité et teneurs de livres,1
,,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Conducteurs de camions de transport,5
,,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Conducteurs de camions de transport,2
,,Elephant Transport Inc.,"SCOUDOUC, NB E4P 1A9",7511-Conducteurs de camions de transport,1
,,FMI Atlantic Inc.,"WOODSTOCK, NB E7M  5G",6311-Superviseurs des services alimentaires,1
,,Murray Enterprises Ltd.,"Sussex Corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,4
,,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,5
,,Regional Health Authority B,"SAINT JOHN, NB E2L 4L4",3112-Omnipraticiens et médecins en médecine familiale,2
,,Safonov's International Business Corportation,"Moncton, NB E1G 0P8",7511-Conducteurs de camions de transport,3
,,White Rock Freight Services Inc.,"MONCTON, NB E1C 6L9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,   Bas salaire,"622735 NB, Inc. o/a Mads Truckstop/Acorn Restaurant","Lake George, NB E6K 3P9",6322-Cuisiniers,1
,,665606 NB Inc o/a Nippon Sushi,"Moncton, NB E1A 5L1",6322-Cuisiniers,1
,,690944 NB INC. o/a Tokai Ramen,"Moncton, NB E1C 1G1",6322-Cuisiniers,1
,,692059 NB Inc. o/a Osaka Hibachi,"Moncton, NB E1C 1C8",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,1
,,692663 New Brunswick Inc.,"MONCTON, NB E1G 3T6",6211-Superviseurs des ventes - commerce de détail,1
,,697131 NB Inc.,"Moncton, NB E1G 2H9",6322-Cuisiniers,6
,,7726848 Canada Ltd. o/a St. Louis Bar & Grill,"MONCTON, NB E1C 2T9",6311-Superviseurs des services alimentaires,2
,,,,6322-Cuisiniers,3
,,Acadia Donair and Pizza & Korean Restaurant,"DIEPPE, NB E1A 1P4",6322-Cuisiniers,1
,,Beacon Light Motel Ltd.  o/a Howard Johnson Inn,"MONCTON, NB E1C 2T1",6312-Gouvernants principaux,1
,,Bolero Shellfish Processing Inc.,"Saint-Simon, NB E8P 2B2",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,18
,,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,37
,,Caraquet Pizza Inc.,"Caraquet, NB E1W 1B8",6322-Cuisiniers,1
,,H & M Chinese Restaurant Ltd.,"FREDERICTON, NB E3B 6Y5",6322-Cuisiniers,2
,,HOOPER'S CONVENIENCE STORE LTD.,"BLACKS HARBOUR, NB E5H 1H1",6211-Superviseurs des ventes - commerce de détail,1
,,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,104
,,Tran's Place Ltd,"Moncton, NB E1A 2X1",6322-Cuisiniers,1
,,White Rock Freight Services Inc.,"MONCTON, NB E1C 6L9",7511-Conducteurs de camions de transport,3
,,Zoa Mansu BBQ Inc.,"Dieppe, NB E1A 1G1",6322-Cuisiniers,2
,  Agriculture primaire,Les Fermes GAM Michaud Farms Inc,"ST ANDRE, NB E3Y 2X9",8431-Ouvriers agricoles,4
,,Shadowave Holsteins Inc.,"Second North River, NB E4J 2V9",8431-Ouvriers agricoles,6
, Talent mondial,Gary James  Lyon Ltd.,"BATHURST, NB E2A 3Z4",2175-Concepteurs et développeurs Web,1
Québec,    Haut salaire,10036099 Canada Inc.,"Montréal, QC H3B 2E3",0111-Directeurs financiers,1
,,,,2174-Programmeurs et développeurs en médias interactifs,1
,,,,2281-Techniciens de réseau informatique,1
,,121352 Canada inc (Technosub),"ROUYN-NORANDA, QC J9X 4K8",7311-Mécaniciens de chantier et mécaniciens industriels,2
,,123 Systèmes Inc / 123 Systems Inc,"Montreal, QC H3H 1C9",2171-Analystes et consultants en informatique,1
,,1266715 Alberta Inc.,"Saint-Laurent, QC H4S 1L3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,163972/Canada Inc/Judith & Charles,"Montreal, QC H2N 2E3","5232-Autres artistes de spectacle, n.c.a.",1
,,164201 Canada Inc.,"ST-LAURENT, QC H4N 1H8",1311-Techniciens en comptabilité et teneurs de livres,1
,,20-20 Technologies Inc.,"LAVAL, QC H7V 4B4",2282-Agents de soutien aux utilisateurs,1
,,2639-1862 Québec Inc (Les Planchers bois francs de Wickham),"WICKHAM, QC J0C 1S0",7333-Électromécaniciens,1
,,2951291 Canada inc.,"ST.- JEAN-SUR-RICHELIEU, QC J2Y 1E3",7511-Conducteurs de camions de transport,3
,,2964-3277 Quebec Inc.,"Lasalle, QC H8R 3H9",2174-Programmeurs et développeurs en médias interactifs,1
,,,,5241-Designers graphiques et illustrateurs,1
,,6064086 Canada Inc.,"Montreal, QC H4B 4W8",2171-Analystes et consultants en informatique,2
,,6173306 Canada Inc.,"Amos, QC J9T 1H3",6311-Superviseurs des services alimentaires,1
,,6318703 Canada Inc,"MATANE, QC G4W 3M6",2232-Technologues et techniciens en génie mécanique,1
,,7266537 CANADA INC. dba International Bridge Technologies (IBT) Canada,"LAVAL, QC H7V 4B4",2131-Ingénieurs civils,1
,,8091056 Canada Inc.,"MONTRÉAL, QC H2W  2R",5241-Designers graphiques et illustrateurs,1
,,8884625 Canada Inc.,"Gatineau, QC J9J 2V5",6322-Cuisiniers,2
,,9018-6560 Québec Inc.,"Montreal, QC H2Y 2E1","5232-Autres artistes de spectacle, n.c.a.",1
,,9030-5814 Québec Inc. / Spectralité,"TROIS-RIVIÈRES, QC G9A 2W6",7237-Soudeurs et opérateurs de machines à souder et à braser,2
,,9052-9470 Québec Inc.,"St-Lazare, QC J7T 2B8",7231-Machinistes et vérificateurs d'usinage et d'outillage,5
,,9072-9203 Québec Inc.,"THETFORD MINES, QC G6G 7X9",2281-Techniciens de réseau informatique,1
,,9081-9014 Québec Inc.,"Coaticook, QC J1A 2S2",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,,9091-4532 Québec Inc.,"L'ISLE-VERTE, QC G0L 1L0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,,,7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,9107-3866 Québec Inc,"MONTRÉAL, QC H2K 2J3","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,9114-3123 Québec Inc.,"QUÉBEC, QC G1K 3V8",6321-Chefs,1
,,,,6322-Cuisiniers,1
,,9114408 Canada Inc.,"Gatineau, QC J8T 6K5",6321-Chefs,1
,,9204-5665 Quebec Inc.,"QUÉBEC, QC G2K 1T5",1241-Adjoints administratifs,1
,,9207-2933 Québec Inc.,"QUÉBEC, QC G1C 5W9",0631-Directeurs de la restauration et des services alimentaires,1
,,9208-1124 Québec Inc,"WICKHAM, QC J0C 1S0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,9208-3401 Québec Inc. (PHOENIXX STRATÉGIES ET SOLUTIONS D'AFFAIRES),"Québec, QC G1G 0J8",2175-Concepteurs et développeurs Web,1
,,9219-1568 Québec Inc.,"Montreal, QC H4P 2H2",2175-Concepteurs et développeurs Web,3
,,9220-5087 Québec Inc.,"LONGUEIL, QC J3Y 7A1",7272-Ébénistes,1
,,9225-1040 Québec inc.,"Quebec, QC G1W 1R6",6321-Chefs,1
,,9229-3646 Québec Inc. (NEQ 116693549),"SHERBROOKE, QC J1L 2Z1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9254-3677 Québec Inc.,"QUÉBEC, QC G1N 1E8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,9257-2734 Québec Inc.,"ANJOU, QC H1M 0A1",6321-Chefs,1
,,9263-4609 Québec Inc.,"CHÂTEAUGUAY, QC J6K 5J9",7511-Conducteurs de camions de transport,1
,,9271-6638 Québec Inc./ Le centre TCHA TCHA TCHA,"SHERBROOKE, QC J1G 1L1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,9274-8706 Québec Inc.,"BOISCHATEL, QC G0A 1H0",6211-Superviseurs des ventes - commerce de détail,1
,,9285-4322 Québec Inc. (Affaire Média),"LAVAL, QC H7L 1Z3",1241-Adjoints administratifs,1
,,9322-8666 Québec Inc,"MONTRÉAL, QC H2V 0A1",6321-Chefs,1
,,9327-7358 Québec Inc.,"MONTRÉAL, QC H3A 2A5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9328-5161 Québec Inc.,"VARENNES, QC J3X 1P7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,"9332-0034 Québec Inc,.","Huntington, QC J0S 1H0",1225-Agents aux achats,1
,,9341-8887 Québec Inc.,"WESTMOUNT, QC H3Z 1P2",6322-Cuisiniers,1
,,9358-2559 Québec Inc. (Restaurant Basha),"GREENFIELD PARK, QC J4V 2H6",6322-Cuisiniers,1
,,9365-9647 Québec inc. / Sunibec,"BROMONT, QC J2L 1A9",1226-Planificateurs de congrès et d'événements,1
,,ABC Emballuxe Inc.,"VILLE SAINT-LAURENT, QC H4N 1R5",1241-Adjoints administratifs,1
,,Activia Networks Canada Inc,"MONTREAL, QC H3B 3J6",2175-Concepteurs et développeurs Web,1
,,Advanced Dynamics Corporation Ltd.,"SAINT-BRUNO, QC J3V 6B9",2232-Technologues et techniciens en génie mécanique,1
,,Aeco gestion de projets inc.,"WESTMOUNT, QC H3Y 2W6",1222-Adjoints de direction,1
,,AFS INTERCULTURE CANADA,"Montreal, QC H4G 1V1",1241-Adjoints administratifs,1
,,Agence du revenu du Québec,"Québec, QC G1X 4A5",0213-Gestionnaires des systèmes informatiques,1
,,,,2171-Analystes et consultants en informatique,3
,,,,2173-Ingénieurs et concepteurs en logiciel,1
,,AgileDSS Inc.,"Montréal, QC H2Y 2G3",2171-Analystes et consultants en informatique,4
,,Aliments Shanti Inc.,"Montréal, QC H4N 1G5",1223-Agents des ressources humaines et de recrutement,1
,,Alten Canada inc.,"MONTRÉAL, QC H3B 4N4",2171-Analystes et consultants en informatique,1
,,Analystik Inc,"Montréal, QC H2G 1A4",2174-Programmeurs et développeurs en médias interactifs,1
,,Andy Transport Inc.,"SAINT-LAURENT, QC H4T 1K2",1222-Adjoints de direction,1
,,Any Home Inc.,"Montreal, QC H3Z 1R6",0711-Directeurs de la construction,1
,,AppDirect Canada Inc.,"Montreal, QC H3A 2J5",2174-Programmeurs et développeurs en médias interactifs,1
,,Atelier 7hz inc.,"MONTRÉAL, QC H2B 1W9",2232-Technologues et techniciens en génie mécanique,1
,,Auberge Fleurs de Lune (2018) Inc,"LA MALBAIE, QC G5A 2N6",0632-Directeurs des services d'hébergement,1
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",6
,,Axiscades Technology Canada Inc.,"MONTRÉAL, QC H3B 4G7",0211-Directeurs des services de génie,1
,,,,2132-Ingénieurs mécaniciens,1
,,Banque Nationale du Canada,"Montréal, QC H3B 4L2",2173-Ingénieurs et concepteurs en logiciel,2
,,Bantam Commerce International Inc.,"WESTMOUNT, QC H3Z 1P6",0731-Directeurs des transports,1
,,Behaviour Interactive Inc.,"MONTREAL, QC H2S 3H1",2174-Programmeurs et développeurs en médias interactifs,1
,,Bell Canada,"VERDUN, QC H3E 3B3",2173-Ingénieurs et concepteurs en logiciel,1
,,Biovac System Inc.,"SAINT-HUBERT, QC J4T 2R4","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Biscuits Leclerc Ltee,"ST-AUGUSTIN-DE-DESMAURE, QC G3A 1T1",7333-Électromécaniciens,5
,,Blackrock Metals,"Montréal, QC H2Z 1S8",0811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
,,Bleu Tech Montreal Inc,"LAVAL, QC H7R 6E9",2253-Technologues et techniciens en dessin,1
,,BRP inc.,"VALCOURT, QC J0E 2L0",2171-Analystes et consultants en informatique,1
,,,,2253-Technologues et techniciens en dessin,1
,,,,2282-Agents de soutien aux utilisateurs,1
,,CACTUS CAFE   EL PIQUANTE,"SOREL-TRACY, QC J3P 4M5",6321-Chefs,1
,,Caisse de Dépôt et Placements du Québec,"Montréal, QC H2Z 2B3",1112-Analystes financiers et analystes en placements,1
,,Camion-Remorque Revan Inc.,"LEVIS, QC G6Y 9E6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Camoplast Solideal Inc.,"Magog, QC J1X 0E6",2282-Agents de soutien aux utilisateurs,1
,,Canam Bâtiments et Structures inc.,"SAINT-GEDEON-DE-BEAUCE, QC G0M 1T0",7237-Soudeurs et opérateurs de machines à souder et à braser,20
,,Carrier & Bégin Inc,"ST-HONORÉ-DE-SHENLEY, QC G0M 1V0",7311-Mécaniciens de chantier et mécaniciens industriels,2
,,CDA-TEQ Québec Inc.,"Montréal, QC H3K 2E4",1241-Adjoints administratifs,1
,,Centre de Carrosserie Automatch Inc.,"ROUYN-NORANDA, QC J9X 7C5",7322-Débosseleurs et réparateurs de carrosserie,4
,,Centre de Collision Centre-Ville Inc.,"Montreal, QC H3K 2A4",7322-Débosseleurs et réparateurs de carrosserie,1
,,Centre-Ville Volkswagen inc.,"Montréal, QC H3C 2G8",1222-Adjoints de direction,1
,,Château Mont Sainte-Anne Inc.,"BEAUPRÉ, QC G0A 1E0",6322-Cuisiniers,1
,,Chromo Solutions d'Affaires Inc.,"Gatineau, QC J8T 2R9",2281-Techniciens de réseau informatique,1
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",5241-Designers graphiques et illustrateurs,3
,,CISSS de la Montérégie-Centre,"SAINT-JEAN-SUR-RICHELIEU, QC J3A 1T6",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,3
,,CISSS de la Montérégie-Est,"St-Hyacinthe, QC J2S 4Y8",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,2
,,Clinique Privamed Inc.,"BOUCHERVILLE, QC J4B 0B2",3112-Omnipraticiens et médecins en médecine familiale,1
,,Club de gymnastique Lévis Inc.,"LÉVIS, QC G6V 6Z5","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,,Cofomo Développement Inc.,"MONTRÉAL, QC H3B 4W5",2174-Programmeurs et développeurs en médias interactifs,12
,,Cogismaq International Inc.,"QUÉBEC, QC G2K 2E3",2171-Analystes et consultants en informatique,1
,,,,2174-Programmeurs et développeurs en médias interactifs,5
,,,,2281-Techniciens de réseau informatique,1
,,Commission Scolaire de la Vallée-des-Tisserands,"BEAUHARNOIS, QC J6N 3S1",4151-Psychologues,1
,,Communauté Hellénique du Grand Montréal,"Montréal, QC H3S 2V7",4032-Enseignants aux niveaux primaire et préscolaire,1
,,Compresseurs Jordair Inc,"LAVAL, QC H7M 2Y2",2132-Ingénieurs mécaniciens,1
,,Comptoir Agricole Ste-Anne inc.,"Repentigny, QC J5Z 4X5",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Conceptromec Inc,"Magog, QC J1X 4V9",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,,Concordia University,"Montréal, QC H3G 1M8",4011-Professeurs et chargés de cours au niveau universitaire,2
,,CONVOYEUR CONTINENTAL USINAGE LTEE,"THETFORD MINES, QC G6G 5V2",2253-Technologues et techniciens en dessin,1
,,CORPIQ INC.,"ST-LAURENT, QC H4M 2M4","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Corporation Cancino Technologies Ltée,"DORVAL, QC H9P 2S9",2281-Techniciens de réseau informatique,1
,,CORPORATION FINANCIÈRE POWER,"Montréal, QC H2Y 2J3",1241-Adjoints administratifs,1
,,CORPORATION IMMOBILIÈRE TIMEX,"MONTRÉAL, QC H4S 1K8",1311-Techniciens en comptabilité et teneurs de livres,1
,,Covalence média inc.,"MONTRÉAL, QC H3A 2G4",5241-Designers graphiques et illustrateurs,1
,,CPU Service d'ordinateur,"QUÉBEC, QC G1N 4P4",1311-Techniciens en comptabilité et teneurs de livres,1
,,Creaform Inc,"Lévis, QC G6W 0L9",2174-Programmeurs et développeurs en médias interactifs,1
,,,,2253-Technologues et techniciens en dessin,6
